"","Area.name","Area.code","Area.type","Specimen.date","Daily.lab.confirmed.cases","Cumulative.lab.confirmed.cases"
"250","Gateshead","E08000037","Upper tier local authority","2020-04-20",14,627
"251","Essex","E10000012","Upper tier local authority","2020-04-20",5,1980
"252","Enfield","E09000010","Upper tier local authority","2020-04-20",5,723
"253","East Sussex","E10000011","Upper tier local authority","2020-04-20",7,463
"254","East Riding of Yorkshire","E06000011","Upper tier local authority","2020-04-20",11,386
"255","Ealing","E09000009","Upper tier local authority","2020-04-20",5,953
"256","Dudley","E08000027","Upper tier local authority","2020-04-20",2,617
"257","Dorset","E06000059","Upper tier local authority","2020-04-20",8,268
"258","Doncaster","E08000017","Upper tier local authority","2020-04-20",3,309
"259","Devon","E10000008","Upper tier local authority","2020-04-20",14,579
"260","Derbyshire","E10000007","Upper tier local authority","2020-04-20",4,967
"261","Derby","E06000015","Upper tier local authority","2020-04-20",1,413
"262","Darlington","E06000005","Upper tier local authority","2020-04-20",9,203
"263","Cumbria","E10000006","Upper tier local authority","2020-04-20",3,1543
"264","Croydon","E09000008","Upper tier local authority","2020-04-20",1,1226
"265","County Durham","E06000047","Upper tier local authority","2020-04-20",34,1023
"266","Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-20",7,420
"267","Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-20",3,608
"268","Cheshire East","E06000049","Upper tier local authority","2020-04-20",8,654
"269","Central Bedfordshire","E06000056","Upper tier local authority","2020-04-20",2,392
"270","Camden","E09000007","Upper tier local authority","2020-04-20",3,531
"271","Cambridgeshire","E10000003","Upper tier local authority","2020-04-20",5,569
"272","Calderdale","E08000033","Upper tier local authority","2020-04-20",4,198
"273","Bury","E08000002","Upper tier local authority","2020-04-20",2,354
"274","Buckinghamshire","E10000002","Upper tier local authority","2020-04-20",2,681
"275","Bromley","E09000006","Upper tier local authority","2020-04-20",6,939
"276","Bristol, City of","E06000023","Upper tier local authority","2020-04-20",10,495
"277","Brighton and Hove","E06000043","Upper tier local authority","2020-04-20",1,322
"278","Brent","E09000005","Upper tier local authority","2020-04-20",2,1254
"279","Bradford","E08000032","Upper tier local authority","2020-04-20",20,613
"280","Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-20",2,350
"281","Blackpool","E06000009","Upper tier local authority","2020-04-20",4,294
"282","Birmingham","E08000025","Upper tier local authority","2020-04-20",19,2431
"283","Bexley","E09000004","Upper tier local authority","2020-04-20",6,548
"284","Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-20",1,182
"285","Barnsley","E08000016","Upper tier local authority","2020-04-20",8,484
"286","Barnet","E09000003","Upper tier local authority","2020-04-20",4,1101
"287","Barking and Dagenham","E09000002","Upper tier local authority","2020-04-20",3,417
"288","Yorkshire and The Humber","E12000003","Region","2020-04-20",171,7647
"289","West Midlands","E12000005","Region","2020-04-20",122,10446
"290","South West","E12000009","Region","2020-04-20",108,5205
"291","South East","E12000008","Region","2020-04-20",122,14028
"292","North West","E12000002","Region","2020-04-20",125,15207
"293","North East","E12000001","Region","2020-04-20",186,6056
"294","London","E12000007","Region","2020-04-20",105,22331
"295","East of England","E12000006","Region","2020-04-20",65,8215
"296","East Midlands","E12000004","Region","2020-04-20",85,5621
"297","England","E92000001","Nation","2020-04-20",1169,98960
"298","York","E06000014","Upper tier local authority","2020-04-19",6,192
"299","Worcestershire","E10000034","Upper tier local authority","2020-04-19",13,956
"300","Wolverhampton","E08000031","Upper tier local authority","2020-04-19",12,609
"301","Wokingham","E06000041","Upper tier local authority","2020-04-19",3,283
