"","Area.name","Area.code","Area.type","Reporting.date","Daily.change.in.deaths","Cumulative.deaths"
"151","Wales","W92000004","Nation","2020-04-10",29,315
"152","Scotland","S92000003","Nation","2020-04-10",81,447
"153","Northern Ireland","N92000002","Nation","2020-04-10",4,82
"154","United Kingdom","K02000001","UK","2020-04-10",1152,10760
"155","England","E92000001","Nation","2020-04-10",1038,9916
"156","Wales","W92000004","Nation","2020-04-09",41,286
"157","Scotland","S92000003","Nation","2020-04-09",70,366
"158","Northern Ireland","N92000002","Nation","2020-04-09",5,78
"159","United Kingdom","K02000001","UK","2020-04-09",1103,9608
"160","England","E92000001","Nation","2020-04-09",987,8878
"161","Wales","W92000004","Nation","2020-04-08",33,245
"162","Scotland","S92000003","Nation","2020-04-08",74,296
"163","Northern Ireland","N92000002","Nation","2020-04-08",3,73
"164","United Kingdom","K02000001","UK","2020-04-08",1034,8505
"165","England","E92000001","Nation","2020-04-08",924,7891
"166","Wales","W92000004","Nation","2020-04-07",19,212
"167","Scotland","S92000003","Nation","2020-04-07",2,222
"168","Northern Ireland","N92000002","Nation","2020-04-07",7,70
"169","United Kingdom","K02000001","UK","2020-04-07",1038,7471
"170","England","E92000001","Nation","2020-04-07",1010,6967
"171","Wales","W92000004","Nation","2020-04-06",27,193
"172","Scotland","S92000003","Nation","2020-04-06",2,220
"173","Northern Ireland","N92000002","Nation","2020-04-06",7,63
"174","United Kingdom","K02000001","UK","2020-04-06",568,6433
"175","England","E92000001","Nation","2020-04-06",532,5957
"176","Wales","W92000004","Nation","2020-04-05",12,166
"177","Scotland","S92000003","Nation","2020-04-05",46,218
"178","Northern Ireland","N92000002","Nation","2020-04-05",8,56
"179","United Kingdom","K02000001","UK","2020-04-05",644,5865
"180","England","E92000001","Nation","2020-04-05",578,5425
"181","Wales","W92000004","Nation","2020-04-04",13,154
"182","Scotland","S92000003","Nation","2020-04-04",46,172
"183","Northern Ireland","N92000002","Nation","2020-04-04",12,48
"184","United Kingdom","K02000001","UK","2020-04-04",760,5221
"185","England","E92000001","Nation","2020-04-04",689,4847
"186","Wales","W92000004","Nation","2020-04-03",24,141
"187","Scotland","S92000003","Nation","2020-04-03",29,126
"188","Northern Ireland","N92000002","Nation","2020-04-03",6,36
"189","United Kingdom","K02000001","UK","2020-04-03",714,4461
"190","England","E92000001","Nation","2020-04-03",655,4158
"191","Wales","W92000004","Nation","2020-04-02",19,117
"192","Scotland","S92000003","Nation","2020-04-02",28,97
"193","Northern Ireland","N92000002","Nation","2020-04-02",2,30
"194","United Kingdom","K02000001","UK","2020-04-02",652,3747
"195","England","E92000001","Nation","2020-04-02",603,3503
"196","Wales","W92000004","Nation","2020-04-01",29,98
"197","Scotland","S92000003","Nation","2020-04-01",22,69
"198","Northern Ireland","N92000002","Nation","2020-04-01",6,28
"199","United Kingdom","K02000001","UK","2020-04-01",670,3095
"200","England","E92000001","Nation","2020-04-01",613,2900
"201","Wales","W92000004","Nation","2020-03-31",7,69
"202","Scotland","S92000003","Nation","2020-03-31",6,47
"203","Northern Ireland","N92000002","Nation","2020-03-31",1,22
"204","United Kingdom","K02000001","UK","2020-03-31",382,2425
"205","England","E92000001","Nation","2020-03-31",368,2287
"206","Wales","W92000004","Nation","2020-03-30",14,62
"207","Scotland","S92000003","Nation","2020-03-30",1,41
"208","Northern Ireland","N92000002","Nation","2020-03-30",6,21
"209","United Kingdom","K02000001","UK","2020-03-30",374,2043
"210","England","E92000001","Nation","2020-03-30",353,1919
"211","Wales","W92000004","Nation","2020-03-29",10,48
"212","Scotland","S92000003","Nation","2020-03-29",7,40
"213","Northern Ireland","N92000002","Nation","2020-03-29",2,15
"214","United Kingdom","K02000001","UK","2020-03-29",214,1669
"215","England","E92000001","Nation","2020-03-29",195,1566
"216","Wales","W92000004","Nation","2020-03-28",4,38
"217","Scotland","S92000003","Nation","2020-03-28",8,33
"218","Northern Ireland","N92000002","Nation","2020-03-28",3,13
"219","United Kingdom","K02000001","UK","2020-03-28",294,1455
"220","England","E92000001","Nation","2020-03-28",279,1371
"221","Wales","W92000004","Nation","2020-03-27",6,34
"222","Scotland","S92000003","Nation","2020-03-27",3,25
"223","Northern Ireland","N92000002","Nation","2020-03-27",3,10
"224","United Kingdom","K02000001","UK","2020-03-27",284,1161
"225","England","E92000001","Nation","2020-03-27",272,1092
"226","Wales","W92000004","Nation","2020-03-26",6,28
"227","Scotland","S92000003","Nation","2020-03-26",6,22
